1,"The benefits provided by Web service protocols are well recognized. Deployments to date, however, have concentrated on new applications, and existing Web-based applications. A host of legacy applications and protocols continue to exist in their native forms, outdated, yet entrenched due to large installed bases. This paper details our observations in integrating a Web service infrastructure into the simple network management protocol (SNMP). SNMP has been in use for over a decade and a half, predominantly in network equipment embedded systems. Our Web service-based approach allows us to enhance our existing application with XML/SOAP interoperability, SSL/TLS security, and the potential to migrate both application and protocol layers to encompass future extensions and Web browser accessibility. The difficulty with SNMP, and many other legacy networking protocols, is that much of the extensive installed base is hosted on limited capability, legacy hardware. While the benefits of our scheme are quite tangible, the performance impact of adding these features is not well known. We examine two approaches, an integrated solution using a light-weight HTTP/SOAP stack, as well as a standard Java Web server implementation. Our tests reveal unanticipated performance results through both the integrated and proxy methods. We discuss the impact of these anomalies on the viability of our approach and address the broad issue of migrating Web services to legacy embedded architectures."
3,"Gartner has determined that “Complex Event Processing” (CEP) is one of the emerging areas on the rise in the “hype cycle” and become dominant in the area of Business Process Integration and Management (BPIM) as well as other areas (such as: command and control). According to Gartner’s prediction, within 5-10 years this area will get to maturity. Activities in this industry have already started, and it is of the interest of this community to have early acquaintance with an area that may be dominant in several of the application types. The aim of this tutorial is to educate the audience about CEP and it’s relevant to the some of the other emergent areas such as: Web services, autonomic computing, and grid management, as well as to traditional data management areas. The tutorial will cover introduction to the area, model-based approaches, architectures, several use cases, relationships to other concepts. It does not require any prior knowledge in the CEP."
4,"Recent years have witnessed a rapid growth in using Web services for data publishing and sharing among organizations. To improve the efficiency of software development and economize on human and material resources, service reuse is viewed as a powerful means which will not only reuse atomic services, but also reuse arbitrary granularities of Service Process Fragments (SPFs). However, effectively reusing arbitrary granularities of SPFs has not been solved yet. In this paper, we propose a novel method of SPF reuse, named SCKY, based on the Cocke-Kasami-Younger (CKY) algorithm. We first present an extended CKY to do SPF-query. Then we address how to do SPF-query by a probability CKY, i.e. return a SPF with maximum emergence probability. Finally, we explore the QoS Query of SPF. Through a set of experiments, the effectiveness and robustness of our approach are evaluated, where the dataset is constructed by the Web Service Challenge Testset Generator1 (CTG)."
5,"Recently, collaborative filtering has been applied to QoS-aware Web service recommendation. However, it cannot make recommendations for users that have invoked only a very small number of services because of data sparsity. In addition, these methods do not know how confident they are in their recommendations. Based on the fact that QoS values of web services are usually subject to the locations of users, a few works assume that the additional knowledge of users' locations can be used to better deal with the data sparsity issue, since a user only needs to know the users near to him/her. On the other hand, the sparsity of user-service invocations forces the location-aware method to consider the QoS experiences of users not near enough, which may decrease its precision. In order to find a good trade-off between coverage and precision, we propose a random walk method combining location-aware and collaborative filtering method for web service recommendation. The random walk method allows us to define and to measure the confidence of a recommendation. To evaluate the performance of our proposed method, we conduct a set of comprehensive experiments using a real-world web service dataset, and compared the method with existing collaborative filtering methods."
6,"As web-enabled software becomes the standard for business processes, the ways organizations, partners and customers interface with it have become a critical differentiator in the market place, i.e., API Economy. With the rapid proliferation of APIs, it is increasingly important for users to effectively manage objective APIs in kinds of API markets, e.g., ProgramableWeb (PW), Mashape, etc. In this paper, to facilitate the process of API management, we propose a graphbased recommendation approach called ATRec to automatically assign tags to unlabeled APIs by exploiting both graph structure information and semantic similarity. Specifically, ATRec first leverages the multi-type relations (i.e., among APIs, mashups, and mashup assigned tags) to construct a heterogeneous network, in which a Random Walk with Restart (RWR) model is applied to alleviate the total cold start problem where no API has ever been tagged. Furthermore, we apply the recommended API tags in two API management scenarios (API search, API recommendation). Comprehensive experiments based on a real dataset crawled from PW demonstrate the effectiveness of the proposed approach."
7,"Locality Sensitive Hashing (LSH) is a widely used similarity search technique for many web services, such as content-based retrieval services for images and videos. Due to its popularity, much research effort has been devoted to improving the search quality, and the indexing and query performance of LSH. However, most existing variants of LSH can only run on single node, which limits their applicability to large-scale data. In this paper, we present a Shuffle-Efficient Similarity Search scheme based on LSH, which can be efficiently executed in distributed environments, to serve a massive amount of data. In SES-LSH, a shuffle efficient indexing scheme is proposed to reduce the data shuffle when constructing hash tables, and a location-aware querying scheme is proposed to improve the query performance. We have implemented a prototype of SES-LSH based on Spark, and several optimizations have been utilized to improve the fine-grained hash table operations of distributed LSH. Extensive experiments using large-scale real-world datasets show that SES-LSH is remarkably more efficient than existing methods."
9,"In a short period the Web has become an important part of our lives. However, the full potential of the Web is still not realized. Two recent developments - Web services and the semantic Web - are steps in the direction of utilizing the full potential of the Web. Web services allow applications to utilize the Web for automatically extracting (and updating) information while the semantic Web enterprise promises to provide the infrastructure that allows intelligent Web services to be rapidly created and deployed. However, with this comes the task of transforming the traditional Web-based systems to Web-services over the semantic Web. In this paper, we demonstrate how an existing successful Web-based system for providing help to first responders of chemically hazardous emergencies (called E-plan) can be converted into a Web-services based model using the semantic Web and intelligent reasoning technologies. Our efforts can be regarded as a case study in converting monolithic Web-based applications to a more agile, rapidly deployable intelligent Web-services model."
10,"Workflows often operate in volatile environments in which the component services' QoS changes frequently. Optimally adapting to these changes becomes an important problem that must be addressed by the Web service composition and execution (WSCE) system being utilized. We adopt the A-WSCE framework that utilizes a three-stage approach for composing and executing Web workflows. The A-WSCE framework offers a way to adapt by defining multiple workflows and switching among them in case of component failure or changes in the QoS parameters. However, the A-WSCE framework suffers from the limitations imposed by a simple strategy of periodically checking the QoS offerings of randomly picked providers in order to decide whether the current workflow is optimal. To address these limitations, we associate the value of changed information (VOC) with each workflow and utilize the VOC to update which workflow to execute. We empirically demonstrate the improved performance of the workflows selected using the new approach in comparison to the original framework."
11,"XML plays an important role in building enterprise applications. However, most of the XML-based applications, particularly the emerging Web services, suffer from low performance caused by XML processing and thus bring negative user experience in terms of response time. We argue that by reducing the considerable overhead in garbage collection the XML processing performance can be improved. We begin by conducting a set of experiments to understand the XML parser's memory characteristics, such as heap composition, object size and type distributions, object lifetime, and so on. Then, we get the valuable findings for improving performance that XML processing, which violates the weak generational hypothesis, is a memory allocation intensive workload in which most objects are small and long-lived. The findings can benefit the design of XML parsing specific GC and related tools designed to improve XML processing performance for Web services"
12,"Traditional, centralized orchestration of composite Web services often leads to inefficient routing of messages. To solve this problem, we present a novel scheme to execute composite Web services in a fully decentralized way. We introduce service invocation triggers, a lightweight infrastructure that routes messages directly from the producing service to the consuming one, enabling fully decentralized orchestration. An evaluation confirms that decentralized orchestration can significantly reduce the network traffic when compared with centralized orchestration"
13,"The emergence of Web services represents a significant advance in the continuing evolution of e-business. In order to fully explore business opportunities provided by this paradigm, it is important to track its utilization. This can be done through the use of logging facilities. However, current Web logging approaches do not contemplate Web services utilization. This paper presents a Web services logging architecture based on SOAP intermediaries that captures comprehensive services usage information, which can be explored to improve B2B and B2C transactions by providing feedback on customer electronic behavior."
14,"In this paper, we describe an approach to discover the control flow graph of Web services for Web services analysis, verification, and testing. For this purpose, three novel methods are proposed. First, we introduce a domain independent RDF Schemas for concise resource oriented functional specification of Web services operations. Secondly, we describe the use of RDF entailment to accurately derive the control flow from the functional specifications. We developed a transformation from RDF graph to SPARQL query to facilitate the RDF entailment which offers flexibility and extensibility over the direct graph matching approach. The third is a linkage based Web services modeling and analysis framework, within which we apply an improved Google PageRank algorithm to efficiently calculate test coverage potential using the derived control flow. We justify that the proposed linkage based Web services modeling and analysis framework is particularly suitable for testing Web services. A prototype of the proposed methods has been implemented and tested on some standard based Web services. Experimental results show that the control flow analysis is quite efficient and accurate, and the coverage based test results of the proposed approach are very promising."
15,"Authorization and access control in Web services is complicated by the unique requirements of the dynamic Web services paradigm. Current authentication mechanisms for Web services do not differentiate between users in terms of fine-grained access privileges. This results in an all-or-nothing access which is not flexible enough for modern day business processes using Web services to execute. In this paper, we present a policy-based authorization framework to address this requirement. We have designed a profile of the well-known WS-policy specification tailored to meet the access control requirements in Web services by integrating WS-policy with an access control policy specification language, X-GTRBAC. The design of the profile is aimed at bridging the gap between available policy standards for Web services and existing policy specification languages for access control. The profile supports the WS-policy attachment specification, which allows separate policies to be associated with multiple components of a Web service description, and one of our key contributions is the design of an algorithm to compute the effective policy for the Web service given the multiple policy attachments. To allow Web service applications to use our solution, we have adopted a component-based design approach based on well-known UML notations. We have also prototyped our architecture, and implemented it as a loosely coupled Web service providing healthcare information services to physicians subject to applicable authorization policies."
16,"Semantic web service discovery has attracted a lot of attention in the last decade. Research conducted in this area can be (mainly) summarized as follows: (1) ""monolith"" matchmaking algorithms (and systems), and (2) schema matching-based techniques. In this paper we describe a flexible approach that takes leverage of existing schema matchers, leading to a multiple choice strategy for semantic service discovery. The approach has been implemented and validated in using the data collection provided by the S3 (Semantic Service Selection) community, and led to promising preliminary results."
17,"We present methods for optimally adapting Web processes to exogenous events while preserving inter-service constraints that necessitate coordination. For example, in a supply chain process, orders placed by a manufacturer may get delayed in arriving. In response to this event, the manufacturer has the choice of either waiting out the delay or changing the supplier. Additionally, there may be compatibility constraints between the different orders, thereby introducing the problem of coordination between them if the manufacturer chooses to change the suppliers. We focus on formulating the decision making models of the managers, who must adapt to external events while satisfying the coordination constraints, using Markov decision processes. Our methods range from being centralized and globally optimal in their adaptation but not scalable, to decentralized that is suboptimal but scalable to multiple managers. We also develop a hybrid approach that improves on the performance of the decentralized approach with a minimal loss of optimality"
18,In this paper we introduce a new modeling tool for constraint handling in the area of workflow technology. The constraint handlers can be used to improve the quality of business processes but without changing already existing business logic. Todays workflow languages provide no possibility to model constraints and the actions in case the constraints get violated explicitly. Fault and event handling mechanisms to react to events not expected in normal executions are only provided by the BPEL language. Using BPEL as workflow language we integrate the constraint handling extension without changing any existing semantics in a smart way. In our approach we use this fault and event handling mechanisms to extend the BPEL language with a constraint handling mechanism. By integrating this constraint handling tool into the BPEL language we provide an approach for quality driven process modeling with the BPEL language.
19,"This paper addresses a fundamental issue of Web service composition. We present a simple but powerful conceptual model that leads to a scalable approach to automatically constructing a composite Web service to meet its requirements by using as few services as possible. Our approach is based on a state space model that has a monotone property to allow efficient search along with efficient algorithms for pruning and simple parallelization. We provide both empirical and theoretical analyses of the proposed approach and show that it has time complexity of O(n
<sup>2</sup>
), for a repository with n services. However, the approach takes linear time for sequential compositions when service applicability is performed by service discovery and thus, it is shown to give asymptotically optimal performance. Although optimality in the number of services deployed is not guaranteed, our experiments on public benchmark data sets show correct optimized solutions 100% of the time, with a reduction in the average running time, compared to a well-performed planning-based system, of better than 35% over 207 composition problems."
20,"With the advancement of Web services technologies, online businesses have the ability to offer their capabilities to larger, lesser known communities of potential collaborators. Universal Description, Discovery, and Integration (UDDI) specification and supporting technologies support open frameworks for businesses to store, advertise and retrieve pertinent services. Many researchers investigate approaches that ubiquitously create higher-level processes by composing services discovered in and retrieved from UDDI registries. However, there are few studies that consider the impact of registry performance on future service automation. This work focuses on evaluating the performance of UDDI registries considering variability and concurrent load of publish and inquiry requests."
21,"With the proliferation of Web services, service engineers demand good automatic service composition algorithms that not only synthesize the correct work plans from thousands of services but also satisfy the quality requirements of the users. Our observation is that conventional approaches suffer from serious limitations in scalability and accuracy when addressing both requirements simultaneously. We have designed and implemented a tool QSynth to use QoS objectives of service requests as the search directives. This approach effectively prunes the search space and significantly improves the accuracy of the search results. Evaluations show that, compared to the state of the art, QSynth achieves superior scalability and accuracy with respect to a large variety of composition scenarios. Our design of QSynth won the performance championship of Web Services Challenge 2009."
